"US MAPPING COMPANIES — lidar/aerial/mobile mapping, tomography, cartography (GIS-Point, чер.2026)"
"Цільові групи: 30-100, 200-300, 300-500 | Реєстр: 138 фірм | Покриття: 50 штатів+DC"
"Увага: вибірка ідентифікованих фірм (не перепис); к-сть працівників — оцінки (±30-50%, див. Confidence)."

===== 1. КОМПАНІЇ (реєстр 138 фірм) =====
Company,HQ_State,Firm_Type,Employees_Estimate,Size_Bucket,Service_Categories,Status,Confidence
NV5 Geospatial (incl. Quantum Spatial/AeroMetric/Photo Science),FL,specialist,711-1300,>500,aerial;lidar;mobile;cartography,active,high
EagleView Technologies (incl. Pictometry),WA,specialist,~1300,>500,aerial;cartography,active,high
"SAM (Surveying And Mapping, LLC)",TX,specialist,1000-2100,>500,aerial;lidar;mobile;tomography,active,high
"DRMP, Inc.",FL,specialist,700-750,>500,mobile;lidar;cartography,active,high
GPRS (Ground Penetrating Radar Systems),OH,specialist,843-1000+,>500,tomography;mobile,active,high
Axim Geospatial (Continental Mapping + GISinc + TSG; now NV5),WI,specialist,340-360,300-500,aerial;lidar;mobile;cartography,active (NV5),high
Bartlett & West,KS,AEC-division,~459,300-500,aerial;lidar;mobile;cartography,active,high
ESP Associates,SC,AEC-division,300-400,300-500,mobile;lidar;tomography,active,med
ENGEO,CA,AEC-division,~400,300-500,tomography,active,high
RETTEW,PA,AEC-division,321-600,300-500,tomography;cartography,active,med
Ayres Associates,WI,AEC-division,394-488,300-500,aerial;lidar;cartography,active,med
Cyclomedia Technology (US ops),WI,specialist,250-317,300-500,mobile;cartography,active (NL parent),med
"Bohannan Huston, Inc.",NM,AEC-division,216-260,200-300,aerial;lidar;mobile;cartography,active,med
Control Point Associates,NJ,specialist,~200,200-300,mobile;lidar,active,med
GRW Engineers,KY,AEC-division,~230,200-300,aerial;cartography,active,med
The GEL Group (incl. GEL Geophysics),SC,AEC-division,201-500,200-300,tomography,active,med
Vexcel Data Program,CO,specialist,183-500,200-300,aerial;lidar;cartography,active (Austria parent),low
The Sanborn Map Company,CO,specialist,~180,100-200,aerial;lidar;mobile;cartography,active,med
"TWM, Inc. (Thouvenot, Wade & Moerchen)",IL,AEC-division,~200,200-300,mobile;cartography,active,high
Southeastern Surveying & Mapping (SSMC),FL,specialist,~200+,200-300,lidar;mobile;tomography;cartography,active,med
Pickett & Associates,FL,specialist,119-160,100-200,aerial;lidar,active (ESP sub),med
GeoDigital,GA,specialist,~131,100-200,lidar;cartography,active,med
Sigma Space Corp.,MD,vendor,~110,100-200,lidar,active (Hexagon),med
East View Geospatial,MN,specialist,50-200,100-200,cartography,active,med
Locana (formerly Critigen),CO,specialist,132-201,100-200,cartography,active (TRC),med
GSSI (Geophysical Survey Systems),NH,vendor,105-120,100-200,tomography,active,high
4M Analytics (US ops),TX,specialist,100-200,100-200,tomography,active (Israel parent),med
Blood Hound,IN,specialist,85-112,100-200,tomography,active,med
Trinity Subsurface,DE,specialist,50-200,100-200,tomography,active,med
"Nearmap US, Inc.",UT,specialist,150-200,100-200,aerial;cartography,active (Australia parent),med
"Towill, Inc.",CA,specialist,~100,100-200,aerial;lidar;mobile;cartography,active,med
"Spatial Front, Inc.",MD,specialist,40-335,100-200,cartography,active,low
Ascent Geomatics Solutions,CO,specialist,100-500,100-200,mobile;cartography,active,low
Surdex Corporation (a Bowman company),MO,specialist,95-114,30-100,aerial;lidar;cartography,active,med
GPI Geospatial (formerly Aerial Cartographics of America),FL,specialist,90-105,30-100,aerial;lidar;mobile,active (GPI div),med
Mandli Communications,WI,specialist,90-110,30-100,mobile,active,med
Optimal Geo,AL,specialist,79-100,30-100,aerial;lidar,active (Woolpert),med
SurvTech Solutions,FL,specialist,93-100,30-100,mobile;tomography;cartography,active,med
Frontier Precision,ND,vendor,86-150,30-100,mobile;cartography,active,med
GIS Surveyors Inc (GSi),CA,specialist,~70,30-100,cartography,active,med
"Geometrics, Inc.",CA,vendor,75-88,30-100,tomography,active,high
TerraSond,AK,specialist,~72,30-100,tomography,active,med
Keystone Aerial Surveys,PA,specialist,59-82,30-100,aerial,active,med
Mercado Consultants,MD,AEC-division,~60,30-100,cartography,active,med
Collier Consulting / Collier Geophysics,TX,specialist,58-61,30-100,tomography,active,med
Kucera International,OH,specialist,52-60,30-100,aerial;cartography,active,med
C Below (Certerra Subsurface Imaging),CA,specialist,~51,30-100,tomography,active,med
Mount Sopris Instrument Co.,CO,vendor,~51,30-100,tomography,active,med
Bess Utility Solutions,CA,specialist,49-51,30-100,mobile;tomography,active,med
ProStar Geocorp,CO,specialist,~49,30-100,tomography;cartography,active,med
The Atlantic Group (now WGI Geospatial),AL,specialist,50-100,30-100,aerial;lidar,active (WGI),low
Blue Marble Geographics,ME,vendor,~49,30-100,cartography,active,med
Pathway Services,OK,specialist,38-51,30-100,mobile,active,med
"Aero-Graphics, Inc.",UT,specialist,41-43,30-100,aerial;lidar;mobile,active,med
Cooper Aerial Surveys,AZ,specialist,35-50,30-100,aerial;lidar,active,med
Aerial Data Service (ADS),OK,specialist,~40,30-100,aerial;lidar;cartography,active,med
Geographic Technologies Group (GTG),NC,specialist,37-39,30-100,cartography,active,high
"Aerial Services, Inc. (ASI)",IA,specialist,36-45,30-100,aerial;lidar;cartography,active,med
Riegl USA,FL,vendor,35-40,30-100,lidar,active (Austria parent),med
TruePoint Laser Scanning,OH,specialist,~35,30-100,mobile;lidar,active (GPRS),med
GeoCue Group,AL,vendor,31-36,30-100,lidar;mobile,active,med
NAEVA Geophysics,VA,specialist,31-50,30-100,tomography,active,med
Mason Private Locating,IN,specialist,~31,30-100,tomography,active,med
Martinez Geospatial (MTZ Geo),MN,specialist,30-60,30-100,mobile;cartography,active,med
The Sidwell Company,IL,specialist,50-100,30-100,aerial;cartography,active,low
Houseal Lavigne Associates,IL,specialist,25-100,30-100,cartography,active,low
DGT Associates,MA,specialist,21-50,30-100,tomography,active,med
Tuck Mapping Solutions,VA,specialist,20-49,30-100,aerial;lidar,active,med
Spatial Data Logic,NJ,vendor,25-50,30-100,cartography,active,med
"GeoTerra, Inc.",OR,specialist,17-25,<30,aerial;lidar;cartography,active,med
Digital Aerial Solutions (DAS),FL,specialist,~21,<30,aerial;lidar,active,med
T3 Global Strategies,PA,specialist,~27,<30,cartography,active,med
Phoenix LiDAR Systems,CA,vendor,~26,<30,lidar;mobile,active,med
"Geodetics, Inc.",CA,vendor,~15,<30,lidar;mobile,active (AEVEX),med
LiDARUSA (Fagerman Technologies),AL,vendor,5-25,<30,lidar;mobile,active,med
Eagle Aerial Solutions,CA,specialist,~14,<30,aerial;lidar;cartography,active,med
Atlas Geographic Data,NC,specialist,21-34,<30,cartography,active,low
Kappa Mapping,ME,specialist,5-9,<30,aerial;cartography,active,med
Air Photographics,WV,specialist,<30,<30,aerial,active,med
Aerial Surveys International,CO,specialist,<30,<30,aerial;lidar,active,low
Aero Photo,FL,specialist,~11,<30,aerial,active,med
Pinnacle Mapping Technologies,IN,specialist,<30,<30,aerial;lidar,active,low
Reality IMT,TX,specialist,2-10,<30,mobile,active,low
Remote Mapping Group,GA,specialist,1-10,<30,aerial,active,low
TerraSurv,PA,specialist,~6,<30,cartography,active,med
David C. Smith & Associates,OR,specialist,10-30,<30,aerial;cartography,active,med
Synergy Mapping,CO,specialist,3-10,<30,aerial;cartography,active,med
CORE GIS,WA,specialist,1-10,<30,cartography,active,med
Four Corners Mapping,CO,specialist,1-5,<30,cartography,active,med
Cartografix,NV,specialist,~1,<30,cartography,active,med
Cairn Cartographics,MT,specialist,~2,<30,cartography,active,high
Tech Maven Geospatial,FL,specialist,11-50,<30,cartography,active,med
Applied Geographics (AppGeo),MA,specialist,9-20,<30,cartography,active (Sanborn),med
Bruce Harris & Associates,IL,specialist,16-22,<30,cartography,active,med
geographIT (division of EBA Engineering),PA,specialist,9-13,<30,cartography,active,med
95West Aerial Mapping (formerly KBM Geospatial),ND,specialist,<30,<30,aerial;lidar,active,low
Advanced Geosciences (AGI),TX,vendor,22-25,<30,tomography,active,med
Hager-Richter Geoscience,NH,specialist,10-22,<30,tomography,active,med
"GeoView, Inc.",FL,specialist,~17,<30,tomography,active,high
Geophysical Insights,TX,vendor,19-21,<30,tomography,active,med
Infrasense,MA,specialist,~15,<30,tomography,active,med
GB Geotechnics USA,NY,specialist,8-16,<30,tomography,active,med
"GeoModel, Inc.",VA,specialist,2-20,<30,tomography,active,low
SubSurface Surveys & Associates,CA,specialist,2-30,<30,tomography,active,med
Olson Engineering,CO,specialist,12-24,<30,tomography,active,med
GeoTomo,TX,vendor,<30,<30,tomography,active,low
Spatial Resolutions,TX,specialist,<30,<30,tomography,active,low
"Woolpert, Inc.",OH,AEC-division,2000-3200,>500,aerial;lidar;mobile;cartography,active,high
Dewberry,VA,AEC-division,~2500,>500,aerial;lidar;mobile;cartography,active,high
Michael Baker International,PA,AEC-division,3000-6000,>500,aerial;lidar;mobile;cartography,active,high
McKim & Creed,NC,AEC-division,800-1100,>500,aerial;lidar;mobile;tomography,active,high
Merrick & Company,CO,AEC-division,700-1133,>500,aerial;lidar;mobile;cartography,active,high
Fugro USA,TX,AEC-division,>1000 US,>500,aerial;lidar;mobile;tomography,active (NL parent),med
GPI / Greenman-Pedersen,NY,AEC-division,~1800,>500,aerial;lidar;mobile,active,high
KCI Technologies,MD,AEC-division,1700-2400,>500,aerial;lidar;cartography,active,high
Colliers Engineering & Design (Maser),NJ,AEC-division,1745-3500,>500,mobile;tomography;cartography,active,high
"Atwell, LLC",MI,AEC-division,1600-2000,>500,mobile;cartography,active,high
WSB,MN,AEC-division,1100-1700,>500,aerial;lidar;cartography,active,high
Mead & Hunt,WI,AEC-division,1200-1414,>500,cartography,active,high
Halff Associates,TX,AEC-division,1000-1300,>500,cartography,active,high
David Evans and Associates (DEA),OR,AEC-division,1000-1100,>500,mobile;lidar;cartography,active,high
Langan Engineering & Environmental,NJ,AEC-division,~2560,>500,mobile;cartography,active,high
Timmons Group,VA,AEC-division,715-1000,>500,cartography,active,med
ECS Limited,VA,AEC-division,~3000,>500,tomography,active,high
USIC,IN,specialist,10000+,>500,tomography,active,high
National Underground Group,CA,specialist,650-857,>500,tomography,active,med
Bowman Consulting (BWMN; incl. Surdex),VA,AEC-division,2300,>500,aerial;lidar;mobile;cartography,active,high
Olsson,NE,AEC-division,~1900,>500,mobile;lidar;cartography,active,high
VHB (Vanasse Hangen Brustlin),MA,AEC-division,~2000,>500,lidar;mobile;cartography,active,high
Weston & Sampson,MA,AEC-division,~937,>500,aerial;lidar;cartography,active,high
ACI Corporation,OH,specialist,~406,300-500,aerial;lidar;mobile,active,med
EPS Group,AZ,AEC-division,~285,200-300,aerial;lidar;cartography,active,med
The Thrasher Group,WV,AEC-division,200+,200-300,lidar;cartography,active,med
"DJ&A, P.C.",MT,AEC-division,~175,100-200,aerial;lidar;cartography,active,med
Sebago Technics,ME,AEC-division,100+,100-200,lidar;cartography,active,med
Brosz Engineering,SD,AEC-division,100+,100-200,lidar;cartography,active,med
Wightman,MI,AEC-division,140-200,100-200,mobile;cartography,active,high
Darling Geomatics,AZ,specialist,30-50,30-100,lidar;aerial,active,med

===== 2. МАТРИЦЯ ШТАТ x РОЗМІРНА ГРУПА =====
HQ_State,<30,30-100,100-200,200-300,300-500,>500,TOTAL,"TARGET_BUCKETS(30-100,200-300,300-500)"
AK,0,1,0,0,0,0,1,1
AL,1,3,0,0,0,0,4,3
AZ,0,2,0,1,0,0,3,3
CA,4,4,1,0,1,1,11,5
CO,4,2,3,1,0,1,11,3
DE,0,0,1,0,0,0,1,0
FL,4,3,1,1,0,2,11,4
GA,1,0,1,0,0,0,2,0
IA,0,1,0,0,0,0,1,1
IL,1,2,0,1,0,0,4,3
IN,1,1,1,0,0,1,4,1
KS,0,0,0,0,1,0,1,1
KY,0,0,0,1,0,0,1,1
MA,2,1,0,0,0,2,5,1
MD,0,1,2,0,0,1,4,1
ME,1,1,1,0,0,0,3,1
MI,0,0,1,0,0,1,2,0
MN,0,1,1,0,0,1,3,1
MO,0,1,0,0,0,0,1,1
MT,1,0,1,0,0,0,2,0
NC,1,1,0,0,0,1,3,1
ND,1,1,0,0,0,0,2,1
NE,0,0,0,0,0,1,1,0
NH,1,0,1,0,0,0,2,0
NJ,0,1,0,1,0,2,4,2
NM,0,0,0,1,0,0,1,1
NV,1,0,0,0,0,0,1,0
NY,1,0,0,0,0,1,2,0
OH,0,2,0,0,1,2,5,3
OK,0,2,0,0,0,0,2,2
OR,2,0,0,0,0,1,3,0
PA,3,1,0,0,1,1,6,2
SC,0,0,0,1,1,0,2,2
SD,0,0,1,0,0,0,1,0
TX,5,1,1,0,0,3,10,1
UT,0,1,1,0,0,0,2,1
VA,1,2,0,0,0,4,7,2
WA,1,0,0,0,0,1,2,0
WI,0,1,0,0,3,1,5,4
WV,1,0,0,1,0,0,2,1
ALL,38,37,18,9,8,28,138,54

===== 3. ВЕЛИКІ ФІРМИ — точні розміри + geospatial-підрозділ + офіси + штати =====
Firm,HQ_State,Total_Employees,Figure_Year,Source_Authority,Geospatial_Division_Estimate,Office_Count,States_With_Offices,States_Count
NV5 Global (NVEE),FL,5024,2024 10-K,SEC 10-K,see NV5 Geospatial,~100,CA FL TX PA GA NC VA MA NY CO IL MO AZ NM ID TN,16
NV5 Geospatial,FL,711,2026,LeadIQ/SignalHire,711 (whole unit),~100,FL OR CO MD CA TX PA VA,8
Axim Geospatial (now NV5),WI,340,2023 acq.,GlobeNewswire,340 (whole unit),4,WI AL MO CA,4
Bowman Consulting (BWMN; incl. Surdex),VA,2300,2025,SEC 10-K,~500 (geospatial+Surdex),90,AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY,50
Woolpert,OH,2000-3200,2025,company/ZoomInfo,~500-800 (est 20-30%),43,OH NC TX VA FL GA IL CO AL IN CA PA SC,13
Dewberry,VA,2500,2025,company About,~250 (Geospatial & Tech Svcs),56,AL AK AZ CA CO CT FL GA IL LA MA MD MS NC NJ NM NY OK PA TN TX VA,22
Michael Baker International,PA,6629,2025,Revelio/PitchBook,~200-300 (Natl Geospatial Practice),120,AL AK AZ AR CA CO CT DE FL GA HI ID IL IN IA KS KY LA ME MD MA MI MN MS MO MT NE NV NH NJ NM NY NC ND OH OK OR PA RI SC SD TN TX UT VT VA WA WV WI WY,50
Merrick & Company,CO,1100,2025,Revelio/Crunchbase,~450-550 (est 40-50%),25,CO NM NC TN SC GA FL ID AK AL,10
McKim & Creed,NC,1019,2025,Revelio/LeadIQ,~300-400 (geomatics),10,NC SC FL VA GA TX LA DE OH PA,10
SAM (Surveying And Mapping LLC),TX,1000-2300,2025,ZoomInfo/Crunchbase,whole firm (geospatial),29,TX NY GA CO FL CA IN KS MO OH VA,11
EagleView Technologies,WA/NY,1281,2025,PitchBook,~700-900 (est 60-70%),n/a,WA NY,2
Fugro USA,TX,1000,2025,LeadIQ/careers,~600-800 (est),17,TX LA CA MD VA AK MA FL SD,9
KCI Technologies,MD,1700,2025,SignalHire/Esri,~500-700 (est 30-40%),54,MD PA VA NC DE FL GA IN NY OH SC TN TX DC,14
Colliers Engineering & Design,NJ,1958,2025,Revelio/PitchBook,~200-300 (est 10-15%),75,AZ CA CO CT FL GA MA ME MD MI MN MO NC NH NJ NM NV NY OR PA SC TN TX UT VA WA WI WY,28
Atwell LLC,MI,2100,2025,BusinessWire,~400-600 (est 20-30%),25,MI MD TX AL WA CO GA AZ IL NY DE FL NC OR UT,15
Bartlett & West,KS,386-466,2025,Revelio/RocketReach,~180-230 (est 40-50%),12,KS MO ND TX SD IA IL FL,8
GPI / Greenman-Pedersen,NY,1800,2025,ZoomInfo,"~100 (GPI Geospatial, Orlando FL)",60,NY NJ PA MA CT MD FL GA OH RI NE VA NC DE SC TN,16

===== 4. ПРИСУТНІСТЬ ВЕЛИКИХ ФІРМ ПО ШТАТАХ =====
State,Num_Major_Firms_With_Office,Firms
FL,15,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
TX,13,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
GA,12,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
VA,12,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
NC,11,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; NV5 Global (NVEE); Woolpert
CA,10,Axim Geospatial (now NV5); Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
PA,10,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); Woolpert
