State,Num_Major_Firms_With_Office,Firms
FL,14,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Merrick & Company; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
TX,12,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Dewberry; Fugro USA; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
GA,10,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Dewberry; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
VA,10,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); Woolpert
PA,9,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; KCI Technologies; McKim & Creed; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE)
NC,9,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International; NV5 Global (NVEE); Woolpert
NY,9,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; EagleView Technologies; GPI / Greenman-Pedersen; KCI Technologies; NV5 Global (NVEE); SAM (Surveying And Mapping LLC)
CO,9,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Dewberry; Merrick & Company; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
MD,9,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; KCI Technologies; Michael Baker International; NV5 Geospatial
CA,8,Axim Geospatial (now NV5); Dewberry; Fugro USA; Michael Baker International; NV5 Geospatial; NV5 Global (NVEE); SAM (Surveying And Mapping LLC); Woolpert
IL,8,Atwell LLC; Bartlett & West; Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Michael Baker International; NV5 Global (NVEE); Woolpert
MA,6,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; Fugro USA; GPI / Greenman-Pedersen; NV5 Global (NVEE)
AL,6,Atwell LLC; Axim Geospatial (now NV5); Dewberry; Merrick & Company; Michael Baker International; Woolpert
OH,6,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; KCI Technologies; McKim & Creed; Michael Baker International; Woolpert
TN,5,Bowman Consulting (BWMN; incl. Surdex); Dewberry; KCI Technologies; Merrick & Company; NV5 Global (NVEE)
NJ,5,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; Michael Baker International
CT,5,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design; Dewberry; GPI / Greenman-Pedersen; Michael Baker International
SC,5,Bowman Consulting (BWMN; incl. Surdex); KCI Technologies; McKim & Creed; Merrick & Company; Michael Baker International
MO,4,Axim Geospatial (now NV5); Bartlett & West; Michael Baker International; NV5 Global (NVEE)
DE,4,Atwell LLC; Colliers Engineering & Design; KCI Technologies; McKim & Creed
AZ,3,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); NV5 Global (NVEE)
NM,3,Bowman Consulting (BWMN; incl. Surdex); Merrick & Company; NV5 Global (NVEE)
ID,3,Merrick & Company; Michael Baker International; NV5 Global (NVEE)
WA,3,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); EagleView Technologies
MI,3,Atwell LLC; Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
IN,3,KCI Technologies; Michael Baker International; Woolpert
AK,3,Dewberry; Fugro USA; Merrick & Company
LA,3,Dewberry; Fugro USA; McKim & Creed
OR,2,Bowman Consulting (BWMN; incl. Surdex); NV5 Geospatial
WI,2,Axim Geospatial (now NV5); Michael Baker International
KY,2,Bowman Consulting (BWMN; incl. Surdex); Michael Baker International
ME,2,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design
OK,2,Bowman Consulting (BWMN; incl. Surdex); Dewberry
RI,2,Bowman Consulting (BWMN; incl. Surdex); Colliers Engineering & Design
IA,2,Bartlett & West; Michael Baker International
SD,2,Bartlett & West; Fugro USA
NV,1,Bowman Consulting (BWMN; incl. Surdex)
MT,1,Bowman Consulting (BWMN; incl. Surdex)
NE,1,Bowman Consulting (BWMN; incl. Surdex)
MS,1,Dewberry
AR,1,Michael Baker International
WV,1,Michael Baker International
MN,1,Michael Baker International
DC,1,KCI Technologies
KS,1,Bartlett & West
ND,1,Bartlett & West
